agemos,L,M,S,P1,P3,P5,P15,P25,P50,P75,P85,P95,P97,P99
67,-0.2653,19.5765,0.13213,14.6,15.4,15.8,17.1,17.9,19.6,21.4,22.5,24.5,25.3,27.0
68,-0.2758,19.7607,0.13246,14.7,15.5,16.0,17.3,18.1,19.8,21.6,22.7,24.7,25.6,27.3
69,-0.2864,19.9468,0.13279,14.8,15.7,16.1,17.4,18.3,19.9,21.8,23.0,25.0,25.8,27.6
70,-0.2969,20.1344,0.13311,15.0,15.8,16.3,17.6,18.4,20.1,22.1,23.2,25.3,26.1,27.9
71,-0.3075,20.3235,0.13342,15.1,16.0,16.4,17.7,18.6,20.3,22.3,23.4,25.5,26.4,28.2
72,-0.3180,20.5137,0.13372,15.2,16.1,16.6,17.9,18.8,20.5,22.5,23.6,25.8,26.7,28.5
73,-0.3285,20.7052,0.13402,15.4,16.3,16.7,18.1,18.9,20.7,22.7,23.9,26.0,26.9,28.8
74,-0.3390,20.8979,0.13432,15.5,16.4,16.9,18.2,19.1,20.9,22.9,24.1,26.3,27.2,29.1
75,-0.3494,21.0918,0.13462,15.7,16.5,17.0,18.4,19.3,21.1,23.1,24.3,26.6,27.5,29.4
76,-0.3598,21.2870,0.13493,15.8,16.7,17.2,18.6,19.5,21.3,23.4,24.6,26.8,27.8,29.7
77,-0.3701,21.4833,0.13523,16.0,16.8,17.3,18.7,19.6,21.5,23.6,24.8,27.1,28.1,30.0
78,-0.3804,21.6810,0.13554,16.1,17.0,17.5,18.9,19.8,21.7,23.8,25.0,27.4,28.3,30.3
79,-0.3906,21.8799,0.13586,16.2,17.2,17.7,19.1,20.0,21.9,24.0,25.3,27.6,28.6,30.7
80,-0.4007,22.0800,0.13618,16.4,17.3,17.8,19.2,20.2,22.1,24.2,25.5,27.9,28.9,31.0
81,-0.4107,22.2813,0.13652,16.5,17.5,18.0,19.4,20.4,22.3,24.5,25.8,28.2,29.2,31.3
