agemos,L,M,S,P1,P3,P5,P15,P25,P50,P75,P85,P95,P97,P99
43,1,99.6795,0.04120,4.1068,90.1,92.0,92.9,95.4,96.9,99.7,102.4,103.9,106.4,107.4,109.2
44,1,100.3058,0.04135,4.1476,90.7,92.5,93.5,96.0,97.5,100.3,103.1,104.6,107.1,108.1,110.0
45,1,100.9238,0.04150,4.1883,91.2,93.0,94.0,96.6,98.1,100.9,103.7,105.3,107.8,108.8,110.7
46,1,101.5337,0.04164,4.2279,91.7,93.6,94.6,97.2,98.7,101.5,104.4,105.9,108.5,109.5,111.4
47,1,102.1360,0.04179,4.2683,92.2,94.1,95.1,97.7,99.3,102.1,105.0,106.6,109.2,110.2,112.1
48,1,102.7312,0.04193,4.3075,92.7,94.6,95.6,98.3,99.8,102.7,105.6,107.2,109.8,110.8,112.8
49,1,103.3197,0.04206,4.3456,93.2,95.1,96.2,98.8,100.4,103.3,106.3,107.8,110.5,111.5,113.4
50,1,103.9021,0.04220,4.3847,93.7,95.7,96.7,99.4,100.9,103.9,106.9,108.4,111.1,112.1,114.1
51,1,104.4786,0.04233,4.4226,94.2,96.2,97.2,99.9,101.5,104.5,107.5,109.1,111.8,112.8,114.8
52,1,105.0494,0.04246,4.4604,94.7,96.7,97.7,100.4,102.0,105.0,108.1,109.7,112.4,113.4,115.4
53,1,105.6148,0.04259,4.4981,95.2,97.2,98.2,101.0,102.6,105.6,108.6,110.3,113.0,114.1,116.1
54,1,106.1748,0.04272,4.5358,95.6,97.6,98.7,101.5,103.1,106.2,109.2,110.9,113.6,114.7,116.7
55,1,106.7295,0.04285,4.5734,96.1,98.1,99.2,102.0,103.6,106.7,109.8,111.5,114.3,115.3,117.4
56,1,107.2788,0.04298,4.6108,96.6,98.6,99.7,102.5,104.2,107.3,110.4,112.1,114.9,116.0,118.0
57,1,107.8227,0.04310,4.6472,97.0,99.1,100.2,103.0,104.7,107.8,111.0,112.6,115.5,116.6,118.6
58,1,108.3613,0.04322,4.6834,97.5,99.6,100.7,103.5,105.2,108.4,111.5,113.2,116.1,117.2,119.3
59,1,108.8948,0.04334,4.7195,97.9,100.0,101.1,104.0,105.7,108.9,112.1,113.8,116.7,117.8,119.9
60,1,109.4233,0.04347,4.7566,98.4,100.5,101.6,104.5,106.2,109.4,112.6,114.4,117.2,118.4,120.5
61,1,109.6016,0.04355,4.7731,98.5,100.6,101.8,104.7,106.4,109.6,112.8,114.5,117.5,118.6,120.7
